,Text,Aspect Term,Sentiment,Polarity
784,mer0 pani saata samarthana chha kamreda biplaba .,saata samarthana,GENERAL,0
785,sabai chaaera netaa parachanada mahaachaaera janataa maarane samapati baika lutane desa tukaraaune samudwa maa dubera maarau .,chaaera,GENERAL,1
786,jatti sarakaara le mana mraji grachha utti maulaaune chha biplaba y0 pakkai h0 .,maulaaune chha,GENERAL,0
787,jatti sarakaara le mana mraji grachha utti maulaaune chha biplaba y0 pakkai h0 .,mana mraji grachha,GENERAL,1
788,mer0 pariwaara pharaka bhaepani y0 adhibesana maa nayaan karyaanti k0 suruata gara ma saamela bhai yuddha garna tayaara hunchhu aud0 nibaachana mer0 0daa maa nemakipaa le jitchha .,jitchha,GENERAL,0
789,kur0 ta sahi gar0 hai sudd0 le .,kur0 ta sahi,GENERAL,0
790,naaraayana maana bijukchheji belaa belaa maa sahi kuraa garnu hunchha .,sahi kuraa garnu,GENERAL,0
791,"jiwa raama ji , est0 gambira samasyaa maa gambhira chhalaphala hudaa tapaai kina haasera prastuta bhae k0 ?",haasera prastuta,GENERAL,1
792,ani bijuchchhe maatra sahi chhana bhanera kasari jaanne janataa le ?,sahi,GENERAL,0
793,tapaai jast0 nidara ani buddhi jibi k0 khaach0 chha .,nidara ani buddhi jibi,GENERAL,0
794,dikka laagchha kast0 kukura haru netaa haru bhaekaae desa maa janmiechha thuikka .,thuikka,GENERAL,1
795,yi dusta bhrastachaari haru laai phaansi nai hunu parchha ... . .,dusta bhrastachaari,GENERAL,1
796,ati yathaartha kuraa mana chh0y0 .,mana chh0y0,GENERAL,0
797,kuraa sahi haae pra ma bhaera kaama garera dekhaaunu paryaae naaraayana maana jyu .,kuraa sahi haae,GENERAL,0
798,yaae desakaae baahuna netaa haru le desa bigaare yini haru le jimmaawaari linuparchha .,bigaare,GENERAL,1
799,jiwaraaja bhandaari sara laai saluta garchhu .,saluta,GENERAL,0
800,hajura k0 prasna garne saili ekadama sahi laagchha .,sahi laagchha,GENERAL,0
801,gaau kaa sighaa janataa laai khksi ra chunaawa kaa welaa maa gaasu dekhaaya bh0ta yinai bhasta laai dinchhana .,bhasta,GENERAL,1
802,daliya gundaa raajaniti le aja maatrai h0ina saata saaladekhi nai desa dhaalna dherai prayaasa gare k0 h0 .,daliya gundaa,GENERAL,1
803,"raajaa k0 panchaayata le khadaa gare k0 jaga sameta bhatkaaera aparaadhi haru le desa samaapta gardaichhna chaahe ty0 susaasana h0sa waa saanti suraksaa , arthika saamaajika , swaabhimaana , pararaasta sambandha , kaanuni raaja sabai dhwasta paarisake .",aparaadhi,GENERAL,1
804,r0hita jyu ab0 y0 sthiti maa desa laai puryaaune haru kaa bir0dha maa j0 tapaaim haru k0 bichaara milne namilne buddhijiwi j0 ahile samana pada sarakaara maa nagae kaa janataa le bh0t dina bhu le kaa haru sana bahasa chalaaunu par0 .,chalaaunu par0,GENERAL,0
805,naaraayanamaana bijukchhe ji jast0 desabhakti netaa y0 desa laai khaach0 chha haamr0 desa nepaala laai .,desabhakti,GENERAL,0
806,pharaka bichaara kaa bhaetaa pani nepaali raajaniti kaa atyantai sraddhaawaana ra eka adarsa wyaktitwa .,sraddhaawaana,GENERAL,0
807,pharaka bichaara kaa bhaetaa pani nepaali raajaniti kaa atyantai sraddhaawaana ra eka adarsa wyaktitwa .,adarsa wyaktitwa,GENERAL,0
808,jiwita madhya kaa uhaan eka maatra imaandaara ra hakki tathaa jibr0 nachapaai prasta niswaarthabhaawa le aphn0 daristik0na raakhne netaa naaraayanamaana bijukchhe maatrai dekhiy0 .,jibr0 nachapaai prasta niswaarthabhaawa,GENERAL,0
809,jiwita madhya kaa uhaan eka maatra imaandaara ra hakki tathaa jibr0 nachapaai prasta niswaarthabhaawa le aphn0 daristik0na raakhne netaa naaraayanamaana bijukchhe maatrai dekhiy0 .,imaandaara ra hakki,GENERAL,0
810,kina phela hundaichha h0laa nepaala ?,phela,GENERAL,1
811,kina chuke kaa h0laan netaa haru ?,chuke,GENERAL,1
812,jiwa raama bhandaari gede baaje .,gede baaje,GENERAL,1
813,"y0 bud0 pani d0si h0 , sabai netaa haru d0si huna , ty0 bhandaa dherai d0si bhedaa jantaa huna .",d0si bhedaa,GENERAL,1
814,sahi kuraa garnu bhay0 naaraayana ji le duniyaan maa sabai bhandaa dherai kara aba tirna sakidaina .,sahi kuraa,GENERAL,0
815,teri maa sudd0 antarawaartaa dina ae pachhi al0chanaa maatrai garera hudaina wikalpa ra samaadhaana k0 upaaya kh0i dina sake k0 antarawaartaa bhane k0 taarkika nich0da dina sakne hunuparchha .,teri maa,GENERAL,1
816,yahaan sara le bhane k0 sahi h0 ke garama aba ‍♂️ ‍♀️ ‍♀️ ‍♂️ ‍♀️ ‍♂️ .,sahi h0,GENERAL,0
817,sabaibhandaa d0si nepaali janataa huna kina test0 khaate netaa haru laai jitaaune kaama garchhan !,d0si,GENERAL,1
818,sabaibhandaa d0si nepaali janataa huna kina test0 khaate netaa haru laai jitaaune kaama garchhan !,khaate,GENERAL,1
819,sabai jawaapha narama ra sammaanita chhana .,narama ra sammaanita,GENERAL,0
820,t0 kis0ra bhanne pasu laai jela nak0chi nahune bhaachha yastaa bhaairala haru le gardaa bhadrag0la bhay0 sidhaakuraa kaaryakrama .,pasu,GENERAL,1
821,t0 kis0ra bhanne pasu laai jela nak0chi nahune bhaachha yastaa bhaairala haru le gardaa bhadrag0la bhay0 sidhaakuraa kaaryakrama .,bhaairala,GENERAL,1
822,ajhai pani nepaali haru le bujhirahe kaa chhainana desa ra naagarika bicha k0 sambandha .,bujhirahe kaa chhainana,GENERAL,1
823,saalaa ty0 bhrasta kupatrukaara kis0ra bhanne le ta rabi patrakaara haina bhane k0 h0laa .,bhrasta kupatrukaara,GENERAL,1
824,hindi chalachitra naayaka maa anilakapura le gare k0 kaama tapaaim le asali jindagi maa nepaala maa gare k0 dekhna paaun yahi subhakaamanaa .,subhakaamanaa,GENERAL,0
825,bhabiseya k0 pradhaanamantri rabi sara jindaawaada ... aaphan0 ta dh0k0 bhane kai yahi h0 yakach0ti rabi sara pradhaanamantri bhaya k0 herne thul0 dh0kaa chha .,jindaawaada,GENERAL,0
826,salaama chha rabi sir . .,salaama chha,GENERAL,0
827,tapaaim maathi dherai nepaali k0 asaa ra biswaasa adie k0 chha .,asaa ra biswaasa,GENERAL,0
828,malaai patrakaara bannu nai chhaina rabi daai hajura d0sr0 buddha h0 .,buddha,GENERAL,0
829,kunai pani jaata dharma laai asara naparne tarikaa k0 eu taa edendaa banaaunusa ani tyast0 eu taa nayaa paarti nirmaana garnusa janataa sabai le hajura laai nai bh0ta dinechhana haami laai tapaai pradhaanamantri bhae k0 herne thul0 sapanaa chha jaya nepaala jaya rabi sara✊✊✊✊ saathai dhanyawaada madana ra kyaanadaa nepaala yunita laai .,jaya,GENERAL,0
830,rabi le ajai ata paaunchhan raamr0 kaama garna rabi le bala thaahaa paae aphn0 phyaana kati rahichhna bhane .,ata paaunchhan,GENERAL,0
831,rabi birudda maa bhukne jh0le jhyaamte chamche hukke chilime bhrastaachaari haru yataa kur0 suna kaana kh0lera !,jh0le jhyaamte chamche hukke chilime bhrastaachaari,GENERAL,1
832,"raajaniti maa aunu h0sa , 007 saala dekhi phaharie k0 mer0 ghara k0 chaara taare jhanadaa jhikchhu ra tapaaim k0 paarti k0 jhanadaa phaharaauchhu .",phaharaauchhu,GENERAL,0
833,yasari nai yasari nai hajura k0 paailaa agaadi badhirahun rawi sara !,agaadi badhirahun,GENERAL,0
834,saarai mith0 majaa aunchha hajura k0 spicha sunna herna jaya rawi 🤚🤚 .,jaya,GENERAL,0
835,"aba eu taa maatra dh0k0 rabi laamichhaane pradhaanamantri bhae k0 herna paau , rabi sara jindaawaada !",jindaawaada,GENERAL,0
836,"kati intelligent , mith0 speech chha .",mith0 speech,GENERAL,0
837,tapaaim mahaana hunuhunchha rabi jyu bhabisya maa y0 tapaaim k0 kaama haru jhanai uchcha rahun .,mahaana,GENERAL,0
838,tapaaim mahaana hunuhunchha rabi jyu bhabisya maa y0 tapaaim k0 kaama haru jhanai uchcha rahun .,uchcha rahun,GENERAL,0
839,"desa k0 sthiti herera hajura le nai lida garidinu bhae jhana raamr0 , , , , , , .",lida garidinu bhae,GENERAL,0
840,desa k0 mantri rawi sara nai hunu parchha h0i ma bhandai chhu ni .,hunu parchha,GENERAL,0
841,yahi ch0ja ra bichaara laai gare kaa hau haami le biswaasa ani die kaa hau saata kati saadaa jibana ani uchcha chha bichaara haamr0 rabi daai k0 sikau aba ta sikau .,saadaa jibana ani uchcha chha,GENERAL,0
842,bharkhara SEE diera base ki yi karismaa name gareki aimaai laai ke thaa saamaaja ke h0 uttaradaayitwa ke h0 b0lne aukaata nabhae ki aimaai shame 0n u .,aukaata nabhae ki,GENERAL,1
843,antima maa haami andhabhakta bhedaa k0 jita kadaa jabaapha dinuparchha yastaa laai .,andhabhakta bhedaa,GENERAL,1
844,rabi daai laai na pradhaana mantri suhaauchha na netaa waahalaai sanchaara karma k0 dharma suhaauchha .,dharma suhaauchha,GENERAL,0
845,ekadama sahi h0 daaju salaama chha daaju .,salaama chha,GENERAL,0
846,ekadama sahi h0 daaju salaama chha daaju .,sahi h0,GENERAL,0
847,disa laaika garne 1०3 janaa dalaala bhrastaachaari ghusyaahaa haru .,dalaala bhrastaachaari ghusyaahaa,GENERAL,1
848,sachi nai rabi daai maahaana hunu hunchha .,maahaana hunu hunchha,GENERAL,0
849,rabi daai aba sabai bhandaa pahilaa ty0 kis0ra srestha bhanne kukura laai nanaaunu pary0 .,kukura,GENERAL,1
850,aba dekhi ta kasai k0 buri najara nalag0sa rawi sara laai bhagawaana .,bhagawaana,GENERAL,0
851,aba dekhi ta kasai k0 buri najara nalag0sa rawi sara laai bhagawaana .,buri najara nalag0sa,GENERAL,0
852,rawi daai laai bhetera Hug garne thul0 ichchhaa kasari hunchha jasari hunchha bheterai marchhu ... ... I l0ve y0u ravi dai l0ve y0u s0 much .,Hug garne,GENERAL,0
853,w0w rabhi sara w0w sambhaawanaa k0 dh0kaa maa chukula maatra laage k0 chha tara taalchaa lage k0 chhaina w0w I am s0 happy t0 hear that ... ✌✌ .,w0w,GENERAL,0
854,gay0 kepi maamaa k0 ghara audau saala maa pradhaanamantri rabi laamichhaane daai .,maamaa k0 ghara,GENERAL,1
855,rabi daai k0 kaarana le desa maa rahe kaa sampurna bhrastaachaari netaa ra luteraa byaapaari saathai dherai kuputa haru le atmahatyaa garna baa ki chha .,bhrastaachaari,GENERAL,1
856,rabi daai k0 kaarana le desa maa rahe kaa sampurna bhrastaachaari netaa ra luteraa byaapaari saathai dherai kuputa haru le atmahatyaa garna baa ki chha .,luteraa,GENERAL,1
857,rabi daai k0 kaarana le desa maa rahe kaa sampurna bhrastaachaari netaa ra luteraa byaapaari saathai dherai kuputa haru le atmahatyaa garna baa ki chha .,kuputa,GENERAL,1
858,aba k0 pradhaanamantri rabi sara nei hunuparchha y0nei janataa k0 maaga chha .,janataa k0 maaga,GENERAL,0
859,haamr0 nepaala desa banaaunuparchha banaau sabai k0 samarthana maa mata tyaarachhu rawi laai pradhaanamantri k0 laagi jaya nepaala jayah0s .,jayah0s,GENERAL,0
860,karismaa maanandhara le j0 bhedaa bhanne sabda pray0ga gari y0 anapadha k0 pahichaana h0 .,anapadha,GENERAL,1
861,raksa kumaara raai dila nisaani magara ra kehi bhrastachaari netaa bhanaaaidaaharukaae nida haraama bhaekaae chha aaja jaya rabi jaya desa .,bhrastachaari,GENERAL,1
862,raksa kumaara raai dila nisaani magara ra kehi bhrastachaari netaa bhanaaaidaaharukaae nida haraama bhaekaae chha aaja jaya rabi jaya desa .,jaya,GENERAL,0
863,rawi bhane k0 baagha h0 eka dui janaa jh0le kukura haru bhukdai maa kehi hune chhaina .,baagha,GENERAL,0
864,"saachinai b0ldaa mana mutu k0 spandana baata anphai le b0le k0 jast0 mahasusa hune gari atinai ch0til0 h0ina , gatil0 jabaapha ... ... ... . seluta rabi ji bichaara bhaawanaa karma prati k0 nirantartaa k0 .",seluta,GENERAL,0
865,rabi sara pradhaanamantri bhay0 bhane y0 desa maa kehi na kehi pariwartana gari chhaadane chha y0 mer0 baachaa bh0 la .,pariwartana gari chhaadane chha,GENERAL,0
866,yuwaraaja laai ali dipresana bhaa jast0 chha .,dipresana,GENERAL,1
867,rabi daai timi maahaana chhau .,maahaana,GENERAL,0
868,❣️ I ' m always with y0u rabi dai .,with y0u,GENERAL,0
869,"gahakil0 sabda haru k0 khaani h0 rabi sara , , salaama chha hajura k0 wichaara ra abhiwyakti laai , , .",khaani,GENERAL,0
870,"gahakil0 sabda haru k0 khaani h0 rabi sara , , salaama chha hajura k0 wichaara ra abhiwyakti laai , , .",salaama chha,GENERAL,0
871,"aba desa ra janataa laai rabi daai k0 khaach0 chha , rabi daai mana maa jati pidaa bhayani haamilaai khusi dina kh0jnu bhaa k0 chha , hajura pradhaanamantri hunai parchha .",khaach0 chha,GENERAL,0
872,"aba desa ra janataa laai rabi daai k0 khaach0 chha , rabi daai mana maa jati pidaa bhayani haamilaai khusi dina kh0jnu bhaa k0 chha , hajura pradhaanamantri hunai parchha .",khusi dina kh0jnu bhaa k0 chha,GENERAL,0
873,"Her0 0f 0ur nati0n , future pradhaanamumtri tapai laai 3 kar0da़ nepaali janataa k0 v0te chha. .",Her0 0f 0ur nati0n,GENERAL,0
874,aba desa samaridhdi banaaune rabi k0 haata maa chha mer0 chaahaanaa chaadai pradhaanamantri bhaera 2०46 saala dekhi k0 bhrasta netaa dekhi karmachaari sabai laai jela haalnu parchha .,bhrasta,GENERAL,1
875,rawi sara b0le k0 ra kati raamr0 sanga mithaasa sabda maa sabai bir0dhi haru k0 jawaapha didaa mer0 ta chhaati yati thul0 bhay0 ki ati khusi gaurawa laagy0 rawi sara jindaawaada .,kati raamr0,GENERAL,0
876,rawi sara b0le k0 ra kati raamr0 sanga mithaasa sabda maa sabai bir0dhi haru k0 jawaapha didaa mer0 ta chhaati yati thul0 bhay0 ki ati khusi gaurawa laagy0 rawi sara jindaawaada .,jindaawaada,GENERAL,0
877,indirectly bhanne ra im0rsana blyaaka mela garna sakne ksamataa chaahin chha rabi daai maa .,im0rsana blyaaka mela garna sakne,GENERAL,1
878,biswa k0 utkarista pradhaanamantri hunchhana rabi janataa k0 laagi y0 100% h0 !,utkarista,GENERAL,0
879,"rawi ji k0 yast0 adhbhuta ksamataa , daksataa k0 sa sammmaana garnu parchha ajha b0lnai saili waa !","adhbhuta ksamataa , daksataa",GENERAL,0
880,"rawi ji k0 yast0 adhbhuta ksamataa , daksataa k0 sa sammmaana garnu parchha ajha b0lnai saili waa !",waa,GENERAL,0
881,aba aaune chunaawa maa pradhaanamantri maa uthannu rabi daai k0 paksa maa 3 kar0da janataa chha abasya hajura k0 jita hune chha .,jita hune chha,GENERAL,0
882,jahaan samma laagchha jantaa le chaay0 bhane jantaa k0 bhaawanaa bujera eu taa sachchaa desa k0 pradhaana mantri hunai parchha rabi sara hajura laai 3kar0dau jantaa k0 samarthaka hune chha .,samarthaka,GENERAL,0
883,kp 0li marne bhaisaky0 aba k0 nayaan pradhaanamantri rabi laamichhaane .,marne bhaisaky0,GENERAL,1
884,hajura haru sabai prati haardika namana ani dipaka daai k0 muskaana kati raamr0 hau .,kati raamr0,GENERAL,0
885,hajura haru sabai prati haardika namana ani dipaka daai k0 muskaana kati raamr0 hau .,namana,GENERAL,0
886,yubaraaja daai k0 phesa dekhdaa mana chh0y0 kina khusi chhainana aja k0 dina maa pani ?,mana chh0y0,GENERAL,0
887,rawi sara patrakaara haaeinaa pradhaanamantri bhanera desa ra jantaakaae sewaa garnuparchha hajura laai 3 kar0da nepaali k0 chaahanaa chha .,chaahanaa chha,GENERAL,0
888,rabi sir aja tapaai laai dekhera dhairai khusi laagy0 .,khusi laagy0,GENERAL,0
889,"rabi k0 rihaaisangai prachande , renaudaahaala , kis0rasrestha , khemabhandaari , dilanisaani , karismaa bajyai adi tatwa haru k0 bh0ka , nindraa , chayana haraae k0 abasthaa .",tatwa,GENERAL,1
890,y0 mulaa canada nepal chanel kaa thiy0 jaba chitawana maa and0lana tathaa wibhinna kuraa bhay0 laaja chhaina hai ahile rabi daai niskane belaa chai anuwaara dekhaairaachha huttihaaraa .,mulaa,GENERAL,1
891,y0 mulaa canada nepal chanel kaa thiy0 jaba chitawana maa and0lana tathaa wibhinna kuraa bhay0 laaja chhaina hai ahile rabi daai niskane belaa chai anuwaara dekhaairaachha huttihaaraa .,laaja chhaina,GENERAL,1
892,rabi sara yi raajanitikanetaa bhanaaaidaa kukura haru kaile sudhrine waalaa chhainan ?,kukura,GENERAL,1
893,y0 disalaaika garne 12 jaanaa laai rabi jyu hiraasata maa bhae k0 mana parne thiechha bhane pachhi khaate haru h0 ma ta indiyaa baata pani kati khusi chhu rabi jyu baahira aunu bhae k0 maa .,khusi,GENERAL,0
894,haamr0 pariwaara baata purai bh0ta rabi ji laai .,purai bh0ta,GENERAL,0
895,rabi laamichhaane desa k0 pradhaanamantri bhae k0 herne thul0 rahara chha desa le thul0 kaajuli pherne thiy0e .,herne thul0 rahara,GENERAL,0
896,rabi daai k0 b0li kati gahakilaa chhana .,gahakilaa,GENERAL,0
897,nepaali bhedaa h0 bhanera tetikeya bhane k0 h0ina .,bhedaa,GENERAL,1
898,rabi daai kaselaai naraamr0 bhannu hunna .,naraamr0 bhannu hunna,GENERAL,0
899,bhane k0 bhaa kh0ita kis0ra ra karismaa k0 jawaapha kadaa ay0 re haawaa ta aru midiyaa haru chhana .,haawaa,GENERAL,1
900,w0w dherai dina pachhi sunna paayaum rawi daai k0 awaaja ananda ani khusi laay0 #rawi sara jindaabaada🤘🤘✋✋✋✋ .,ananda ani khusi laay0,GENERAL,0
901,w0w dherai dina pachhi sunna paayaum rawi daai k0 awaaja ananda ani khusi laay0 #rawi sara jindaabaada🤘🤘✋✋✋✋ .,jindaabaada,GENERAL,0
902,"waa rabi sara tapaaim haami sabaikaae mana mastika maa basnu bhayaae , badhaai chha tapaaim laai .",badhaai chha,GENERAL,0
903,prachanda laai bhitte raastrapati banaae jast0 rawi laai hallaa k0 pradhaanamantri banaaunu humdaina .,bhitte raastrapati,GENERAL,1
904,"rawi le aphn0 thaaun baata die k0 y0gadaana le ty0 thaaum maa abasya pur‍yaaunchha , ahile nai rawi laai jawarajasti raajaniti maa taannu hundaina .",abasya pur‍yaaunchha,GENERAL,0
905,rabi daai aud0 chunaawa maa nayaan paathi kh0llusa tapaaim 1००% jitnu hunchha tapaaim laai desa k0 pradhaanamantri banaaune dherai chaahaanaa chha .,chaahaanaa chha,GENERAL,0
906,tapaaim k0 bhanaai jastai s0cha h0sa badhaai chha rabi sara haami sadhai satya k0 paksa maa chhau .,badhaai chha,GENERAL,0
907,natra desa laai kh0kr0 banaai sake dalaala haru le .,dalaala,GENERAL,1
908,nikhila daai k0 bichaara sahi .,sahi,GENERAL,0
909,yadi rabidaai laai kehi bhay0 bhane saale nepaala k0 ch0ra neta k p 0li laai sidhaaidine h0 ra nayaa sambibdhaana liune h0 nepaala k0 netaa haru ch0ra chha sabai .,ch0ra,GENERAL,1
910,risi dhamalaadaai sahi kuraa h0 .,sahi kuraa,GENERAL,0
911,atyaantai raamraae bichaara raakhnu bhayaae nikhila daadaa le .,raamraae bichaara,GENERAL,0
912,nikhala daai aahaa kati raamr0 sabda .,aahaa kati raamr0,GENERAL,0
913,risi daai pailaa hajura pratrakaara hununthiy0 ty0 satyaa h0 pailaa k0 pratrakaaritaa prati ma tapaailaai saluta garchhu tara tapaaim jela parera niskie pachhi katai paati k0 jh0laa b0ke k0 ta chhaina bhanni ama janataa k0 prasna h0 pailaa k0 ra ahile k0 maa dherai pharaka dekhe k0 le janataa jaannu chaahaanchha ?,saluta garchhu,GENERAL,0
914,risi daai pailaa hajura pratrakaara hununthiy0 ty0 satyaa h0 pailaa k0 pratrakaaritaa prati ma tapaailaai saluta garchhu tara tapaaim jela parera niskie pachhi katai paati k0 jh0laa b0ke k0 ta chhaina bhanni ama janataa k0 prasna h0 pailaa k0 ra ahile k0 maa dherai pharaka dekhe k0 le janataa jaannu chaahaanchha ?,paati k0 jh0laa b0ke,GENERAL,1
915,nikhila daai k0 b0li maa nepaali maat0 k0 suna maa sugandha k0 baasanaa aay0 yasarinai nepaali jhandaa sabai le b0kau paati k0 jhandaa chh0dau uhaa le b0le k0 kuraa saluta chha nikhila jyu rabi daai k0 jasari pani rihaa gariy0sa jaya pasupati naatha .,saluta,GENERAL,0
916,nikhila daai k0 b0li maa nepaali maat0 k0 suna maa sugandha k0 baasanaa aay0 yasarinai nepaali jhandaa sabai le b0kau paati k0 jhandaa chh0dau uhaa le b0le k0 kuraa saluta chha nikhila jyu rabi daai k0 jasari pani rihaa gariy0sa jaya pasupati naatha .,jaya pasupati naatha,GENERAL,0
917,nikhila nepaali nah 1 diraae saathai bichaara pani maahaana chha .,bichaara pani maahaana,GENERAL,0
918,rawi laamechhaane k0 phyaana yataa haajira huma ta .,phyaana,GENERAL,0
919,balla aja risi sara le raamr0 kuraa garnu bhay0 jaya rabi bhaai .,raamr0 kuraa,GENERAL,0
920,nikhila daai k0 kuraa ekdamai p0jetibha kuraa garnu bhay0 saluta chha daai .,p0jetibha kuraa,GENERAL,0
921,nikhila daai k0 kuraa ekdamai p0jetibha kuraa garnu bhay0 saluta chha daai .,saluta chha,GENERAL,0
922,haahaahaahaahaa hansaay0 kuna putrikaara h0 y0 d0si le nyaayapaaunu parchha bhanne daamnaa .,daamnaa,GENERAL,1
923,dipaka giri k0 L0gic 100% sahi chha .,sahi chha,GENERAL,0
924,risi ji k0 kuraa maa 100% sahamati chhu khusi lagy0 .,sahamati chhu,GENERAL,0
925,prasna s0dne k0 g0ru h0 .,g0ru,GENERAL,1
926,rawi ji nepaali dukhi ra gariba janataa k0 haru k0 aidala huna jaya rawi .,aidala,GENERAL,0
927,rawi ji nepaali dukhi ra gariba janataa k0 haru k0 aidala huna jaya rawi .,jaya,GENERAL,0
928,kati khera h0 aja rabi sara rihaa hune uhaa k0 muhaara herna atura bhaa k0 chha .,muhaara herna atura,GENERAL,0
929,rabi daai laai tala maathi bhay0 bhane haami sabai janataa milera y0 sarakaara dhaalnechhau .,dhaalnechhau,GENERAL,1
930,6 : 17 kadaa die risi br0 le thika chha y0 tarikaa .,thika chha,GENERAL,0
931,y0 risi dhamalaa nikline pakkaa bhayapachhi sap0ta gare k0 h0 .,sap0ta,GENERAL,0
932,"dherai raamr0 bichaara , saachchainai uchcha bichaara !",uchcha bichaara,GENERAL,0
933,"dherai raamr0 bichaara , saachchainai uchcha bichaara !",raamr0 bichaara,GENERAL,0
934,"dherai asthaa kaa saatha sammaana nikhila ji ( mai le aja samma tapaai k0 1 philma pani here k0 chhaina , 1 wataa itarbhyu pani here k0 chhaina , y0 nai pahilal0 h0 , bhaninchha ni pahile bala maa nai chhakkaa maarnu bhay0 , sammaana chha tapaai k0 bichaara laai ) .",sammaana,GENERAL,0
935,hij0 samma bir0da gare k0 thiy0 mulaa .,mulaa,GENERAL,1
936,nikhila sara tapaaim laai adara sahita salaama chha tapaaim chalachitra maa maa maatrai h0ina rahechha saachchai waastawika janataa k0 hir0 hunu hud0 rahechha jaya h0sa tapaaim k0 .,salaama,GENERAL,0
937,raajya k0 saputa eutaa sachchaa patrakaara risi dhamalaa k0 y0 abaaja k0 laagi dhanyawaada .,sachchaa patrakaara,GENERAL,0
938,raajya k0 saputa eutaa sachchaa patrakaara risi dhamalaa k0 y0 abaaja k0 laagi dhanyawaada .,saputa,GENERAL,0
939,raajya k0 saputa eutaa sachchaa patrakaara risi dhamalaa k0 y0 abaaja k0 laagi dhanyawaada .,dhanyawaada,GENERAL,0
940,y0 pani kaama chhaina prachande k0 jh0le h0 .,jh0le,GENERAL,1
941,indiyaa dalaala dhamalaa laai pani kaarbaahi gara .,dalaala,GENERAL,1
942,satte lukdaina ra jhukdaina bhanne bhanaai yahi h0 hij0 samma dhamaalaa le dherai rabi sara k0 khilaapha bayaana die k0 prasta chha aja satte k0 bijaya hune pakkaa dekhera bh0li rabi k0 janasaagara le malaai chh0ddaina bhanne bujhe kai h0 chatur0 ra chha dhamalaa !,khilaapha bayaana,GENERAL,1
943,satte lukdaina ra jhukdaina bhanne bhanaai yahi h0 hij0 samma dhamaalaa le dherai rabi sara k0 khilaapha bayaana die k0 prasta chha aja satte k0 bijaya hune pakkaa dekhera bh0li rabi k0 janasaagara le malaai chh0ddaina bhanne bujhe kai h0 chatur0 ra chha dhamalaa !,janasaagara,GENERAL,0
944,rawi laamichhaane le sarakaara le garnu nassakne kaama gare k0 chha .,garnu nassakne kaama gare,GENERAL,0
945,yaae bhrastaachaari sarakaara le haae .,bhrastaachaari,GENERAL,1
946,aba nekapaa maasiyaae es laai kas le bhaaeta dinchha .,maasiyaae,GENERAL,1
947,prachanda maaaaebaadi ta sakyaae prachanda le gardaa emaale pani sakinchha .,sakinchha,GENERAL,0
948,hainaa haamr0 ark0 naayaka raajesa hamala kataa haraaunu bha k0 chha ke hi ta b0lidinu haamr0 rabi daai k0 baare maa .,haraaunu,GENERAL,1
949,bhandai aphn0 kuraa tersaaune risi dhamalaa k0 kaaryakrama maa atithi huna jaane haru le s0chnu parne belaa ae k0 chha ki y0 dhamalaa pani kasai baata sumchaalita chha .,kasai baata sumchaalita,GENERAL,1
950,"philma pardaa bhitra ra baahira duwai ksetra baata rawi daaju laai saatha dinuhune ramesa upreti , nikhila upreti , dipaka raaja giri , swetaa khadkaa sabai laai haridaya dekhinai dhanyawaada ra philma ksetra kaa mahaa naayaka , meghaa suparastaara bhanine ra aru sampurna g0baralyaatha kalaakaara haru laai keraa khaaera basa bhanna chaahanchhu ☹️ .",g0baralyaatha,GENERAL,0
951,yahaan prasna s0dhne chaai bhede nai raichha .,bhede,GENERAL,1
952,"gaandhi , mandelaa kh0jna katai jaanu pardaina nepaala maa janmisake rabi laamichhaane nepaala k0 gaandhi , mandelaa ... ... .. sappai . .","gaandhi , mandelaa",GENERAL,0
953,rabi laai phasaaune kaama h0 mer0 pami rabi laai saatha chha .,saatha chha,GENERAL,0
954,rabi laai phasaaune kaama h0 mer0 pami rabi laai saatha chha .,phasaaune kaama,GENERAL,1
955,kalanki k0 maalap0ta k0 haakima le saalikaraama le bhanda pachhaadi atmahatyaa gardaa akhtiyaara pramukha k0 naama susaaita n0ta maa hudaa kina uslaai nasamaate k0 ?,nasamaate,GENERAL,1
956,uslaailaai jel maa haali chhaanabina kina gariyana .,jel maa haali chhaanabina,GENERAL,1
957,y0 sati le saraape k0 desa maa bhal0 hunna .,sati le saraape,GENERAL,1
958,nikhila ji le ati raamr0 sanga yathaasthiti k0 barnana garnu bhay0 !,raamr0 sanga,GENERAL,0
959,hajura haru sabailaai mana dekhi nai salut chha .,salut,GENERAL,0
960,dipaaka daai raamr0 kuraa garnu bhay0 .,raamr0 kuraa,GENERAL,0
961,rabi laamichhaane daai kaa samarthana jati yataa haajira garau ta saathi haru ✍️✍️ ‍♀️✋✋ .,samarthana,GENERAL,0
962,rawisara laai rihaai gariy0sa .,rihaai gariy0sa,GENERAL,0
963,aja saarai mith0 kuraa garnu bh0 risi dhamalaa ji le saatha ra samarthana k0 laagi sabai laai dhanyabaada awa netaa k0 bhara chhain desa banaaune haami janataa le h0 haami eka bhai awa desa banaau raamr0 kaama k0 laagi sabai laai samarthana garnai parchha jaya desa bhara nepaala ... ... . !,mith0 kuraa,GENERAL,0
964,yaae risi mardaa malaami jaane 1० janaa maanchhe hudainana .,malaami,GENERAL,1
